# Hurst index, argmin set length, argmin set center, hurst range
5.107164333181606342e-01,2.268832856685225607e+00,8.938740373492786162e-01,4.953008269759506810e-02
7.018139087594128522e-01,7.430352086041374093e-01,1.059293589566314253e+00,1.196472859687648382e-01
1.331607335680888016e-01,6.991300923596348582e-01,-1.523199675053804381e+00,4.590424285355372280e-01
9.287015674057560455e-01,2.634460063667922736e+00,6.404713123545846543e-01,1.978948071142772047e-02
3.997035705045831611e-01,2.308896479463442564e+00,-1.105667156454686273e+00,2.171705185599076549e-01
3.178602488335495191e-01,2.122321053686723857e+00,-4.108440596028193337e-01,2.951822114180352452e-02
6.536741762541007361e-01,1.721501329860235519e+00,-1.197695824230363693e+00,2.447214979493236298e-01
3.262695977050140139e-01,1.637506920298615221e+00,-2.131916915172511473e-01,5.573736456869866629e-01
2.005236537340239211e-01,1.890311282192727926e+00,-1.471545081943066213e+00,2.339452705543229039e-01
7.904162822160739621e-01,1.375358141695025793e+00,-1.424626520538161856e+00,1.311057018706753841e-01
4.148955705457162413e-01,4.914752098345928077e-01,-3.873731880775431180e-01,5.329129295991665849e-01
3.171511208030319273e-01,2.918618889636901415e-01,-1.092840396893461241e+00,1.420895605142746820e-03
9.269884304087236959e-01,5.805396116483008129e-02,3.752894641280131172e-01,1.973154359998241514e-02
3.606720941110000411e-01,5.374571047784041378e-01,-5.943787451095958740e-01,2.456017263479609580e-02
8.358763719348319965e-01,7.579878448527319623e-01,-7.861779101761349198e-01,1.448969536337074704e-02
3.785720123928973391e-01,1.933166179382195482e+00,7.044083674661805183e-03,5.554836896291082127e-01
9.095089963888438600e-01,3.923794990455240494e-01,5.505066791899149159e-01,2.580179634002111033e-02
7.023049208974559143e-02,1.935373359738311372e+00,-1.327992968154571241e+00,3.697006947714264191e-01
9.932516625416742961e-02,1.197909880073242839e+00,-7.340944364220676199e-01,6.955775711396738892e-01
8.064238277566149193e-01,2.681241377812564330e+00,1.141109284523687872e+00,6.247294319928586859e-02
1.698842300835782804e-01,5.030181419214396765e-01,2.151079949895319254e-01,4.069817757577972039e-01
5.658063718241332918e-01,6.412976646433015127e-01,5.619255003088301503e-01,2.359688649285206496e-01
8.758458182267744863e-02,1.198256678511275597e+00,-8.801288164740351805e-01,4.122293531715687243e-01
9.086198906930635644e-02,1.435384306451723990e+00,-1.213434167132333430e+00,6.526918244672988978e-01
1.677634512126268684e-01,2.963228903427243210e+00,-3.752225633802401816e-01,4.473756605264283537e-01
8.849199449298353337e-02,2.668359833932636871e+00,-1.014878108432328174e+00,3.618217164474578640e-01
9.361180391702368375e-01,2.139977494551275061e+00,9.981796833748202147e-01,1.186106031414835282e-02
5.502115398494609178e-01,3.776744768014491660e-01,-9.046111836752752655e-01,2.980518688658568838e-01
5.747725436729562709e-01,5.196882870839771851e-01,1.081457700875990691e-01,8.048961788097364067e-02
9.326877785461539228e-01,2.197558178692546882e+00,1.259989190917741197e+00,1.185592409256064350e-02
6.511661684672659378e-01,3.612965285934677251e-01,4.945907397731275079e-02,1.181813127475174197e-01
5.060174998459304740e-01,1.607423374494705071e+00,-3.506585938807605940e-01,1.832875534619573532e-01
5.720406567823062005e-01,3.585198289430628904e-01,-1.028749808188911485e+00,1.889670573396040609e-02
4.472552813838490682e-01,1.660630127114307353e+00,-1.454280494455782557e+00,3.597385568121410637e-01
7.615394168200098068e-01,2.726810288012014638e+00,-7.672152547365440611e-02,1.133481926509304349e-01
8.500903966894255426e-01,1.805870109111379129e+00,-4.012770997216907887e-01,9.730435950790594646e-03
3.918605307299251606e-01,4.719110932647578860e-01,-9.395925517185087505e-01,7.057654134596735851e-02
2.655200983747355581e-01,2.053508539284311318e+00,1.470649242053920336e+00,1.739654043959816265e-01
9.159097403828649897e-01,2.460165058625876533e+00,-1.026577535206655956e+00,1.214430913333119921e-02
2.323075116784352745e-01,1.336161861902223524e+00,-4.558442144829204512e-01,2.233151787726339599e-01
6.905030696636931253e-01,2.555024601327993583e+00,-6.643098665859155094e-01,1.726359514404658402e-01
5.185451093080203355e-01,2.088265812270942323e+00,-9.571171783287220070e-01,4.159033645592944417e-01
3.814252992228533423e-01,5.079445676954035260e-01,-8.379856370929245069e-01,2.727142364236456173e-01
8.526228522993044567e-01,2.966956877654596259e+00,-1.029825991901948123e+00,8.662051720268237887e-03
3.961076810986458585e-01,2.362002788287221655e+00,-5.398423000116587822e-01,1.080779406478749594e-01
3.125125856513373268e-01,1.558395718071128311e+00,-9.205255431148573475e-01,1.595389951212897728e-01
1.332300475601050360e-01,2.357534257978080472e+00,5.396519145634783854e-01,4.829381934644244589e-01
9.537267291231335542e-02,2.884646908459391312e+00,1.195350882486167166e+00,5.950314093361269707e-01
7.442951965535841152e-01,2.836986687378510563e+00,-6.786095620070102807e-01,8.892383165716721827e-02
7.982996932543519331e-02,2.325964238530260353e+00,9.240263479886485776e-01,7.643535717443125654e-03
4.631394369577700454e-01,3.217324432740862328e-01,-8.647949375222030444e-01,3.930796181112474752e-01
5.883256214210527135e-01,9.117264049483877475e-01,-8.624714664738911685e-01,1.181530743530853078e-01
3.765486350895007606e-01,1.580624299562900958e+00,3.853794244574437755e-02,3.637888226784291579e-03
3.974747195853101656e-01,1.171903952390638715e+00,1.186801426910167656e+00,4.103378223017140058e-02
2.540518293389082971e-01,1.821029816756097430e+00,-4.641042697579947918e-01,6.366777796673681600e-01
4.736771423851551255e-01,2.772438160960376319e+00,-6.932884714235549861e-01,2.101700492329686698e-01
9.068986668790491867e-01,2.857272546843347527e+00,-9.622241942001501513e-01,3.937929679708940256e-02
9.056850992005194279e-01,2.425612294013579806e+00,-9.853226365950615850e-01,3.335977044807136860e-02
1.152822052322754892e-01,2.982126969193395816e+00,9.424575409942348436e-01,2.752571793236191500e-01
2.486037521736036982e-01,4.907885716776669849e-01,-1.151257607060851562e+00,3.476367293145817272e-01
6.950007075678223956e-01,1.610526574683856627e+00,-8.111071674372027918e-01,1.523723322571436389e-01
2.660958030312579603e-01,2.060266083475406518e+00,1.409087932967123535e+00,3.286635672914351436e-01
7.903240114662821725e-01,1.006828023342834610e+00,-4.784332985907292501e-01,1.252833175164924651e-01
2.740765998495146016e-01,2.511477270221035063e+00,4.985093428651095060e-01,3.066949973903539961e-01
6.497080013334343151e-01,3.308305899146737339e-01,3.263174076644108634e-01,2.150157128894322200e-01
1.970680068740152668e-01,2.484867563851448580e+00,1.157849375638711376e+00,6.961042298857758048e-01
2.096993030426278493e-01,2.623414894724879431e+00,7.040142380255458576e-01,2.901150643006892849e-01
8.814718707471361769e-01,2.957077082688652769e+00,2.067765979549536226e-01,6.496705350144782454e-02
7.059745003552082565e-01,1.029782912538562467e+00,1.121986849537399245e+00,7.221726977012254967e-02
7.495215840709665844e-01,2.174215273704838580e+00,4.358070953140720238e-01,1.148498091522142106e-01
1.210857801556101676e-01,1.141695310785046047e+00,-1.548658750240559101e+00,6.468598312858782062e-01
2.143356655504028430e-01,2.601115127141911731e+00,-3.576163999786630132e-01,4.327289696272412778e-02
5.895350232409017899e-01,9.574369290300519530e-01,-1.008429209179300567e+00,2.529509291561501394e-01
5.007194047048028063e-01,2.825533535175411171e+00,7.012839319311492403e-01,3.704771333088718865e-01
7.100620467744822584e-01,1.890675687785259518e+00,4.348175444144867230e-01,1.227956916603161197e-01
1.861726882703957919e-01,2.113961585519540165e+00,-2.675222776267480729e-01,1.988047236181741950e-02
7.172182042379984246e-01,1.951524791346033183e-01,1.115189077343643476e-01,3.981423936339378855e-03
6.003817403515535611e-01,2.077122782966930536e+00,-1.098479900129984532e+00,2.280933604293947647e-01
3.278518153235978061e-01,4.960820661421641020e-01,7.994176141078757070e-01,2.000715751101625473e-01
4.250278923484438476e-01,3.214631690639684347e-01,4.206434341333730176e-01,3.532163266392496226e-01
7.324882842057078847e-01,1.462217689595635361e+00,-1.918764530156286119e-01,1.749765668175453648e-01
4.865192186150454345e-01,2.526050879868676269e+00,-1.475621628798771123e+00,1.398102728829598851e-01
4.136718614169096475e-01,1.143110688625510019e+00,1.472140539201624465e+00,3.307293000924650950e-01
5.446311334926752235e-01,1.595309557214997120e+00,-1.866104167525571844e-01,1.095879610372422208e-01
5.499586303130961085e-01,1.663002982660432671e+00,1.558220220455949878e+00,3.494292295516971958e-01
7.847694660842919889e-01,2.987499092246674870e+00,-7.515428005279924939e-01,1.096465025500764634e-01
4.006400550380483372e-01,1.781584215616046407e+00,7.644136276707858002e-02,3.116540748811902350e-02
3.372077028583083669e-01,1.661220405751728801e+00,5.347838042110748535e-01,2.035619924494611599e-01
8.368923630341451592e-01,2.757694818301623219e+00,-8.592901202392619897e-01,5.189550160362244036e-02
2.522846458733049024e-01,2.592190393844037377e+00,1.165238171048186500e+00,4.689114047044046218e-01
5.574884503689938597e-01,2.443262883545977981e-01,-8.298709511106376890e-01,2.233392402177876157e-01
6.411319034101014003e-01,4.374605373214861537e-01,7.034036343522449553e-01,2.748808386819697747e-01
2.199608839836989516e-01,1.719304666750115285e+00,-1.152770779646290711e+00,1.970571042018072205e-01
4.367059426118903853e-01,1.337817643270609480e+00,1.311093402813978681e+00,3.509782576934694642e-02
2.923159759559019188e-01,1.623756797173169453e+00,1.734625732240336893e-01,2.337947002316440037e-01
2.341575097217390988e-01,1.346116353870415727e+00,6.681418330981366838e-01,5.049619098297225550e-02
4.960444070666916727e-01,2.348895123117624273e+00,-1.308158762595093005e+00,4.216498483227181793e-01
2.602147061396105077e-01,1.715917960530193742e+00,-3.041770070090776823e-02,6.585941610172263427e-01
3.282728328259070794e-01,2.386751781580063181e+00,-5.912100896252248106e-01,1.070635595924527839e-01
5.919653087996972207e-01,1.281671762993346286e+00,-6.438108905457234910e-01,9.207559501803719293e-02
1.949202483482013748e-01,3.041129311317916084e+00,-1.468640726992270995e+00,4.254954399366723261e-01
3.992119065005842460e-01,2.791161769338668108e+00,-1.504277724277025108e+00,5.355370607902227853e-01
7.259217967233496660e-01,2.175911628269518339e+00,7.980648822156655164e-02,1.163684187463347453e-01
7.112844159651259268e-01,2.730759314618998790e+00,-9.319126740496070926e-01,1.678490052736559823e-01
9.281470581192826641e-01,1.928006633229210731e+00,-4.170011392358710101e-01,1.625229659763072210e-02
6.075300574795000630e-01,2.067933816255198565e+00,-1.026438459824198901e+00,1.136441259554903382e-01
3.716813131586254593e-01,2.978719717601522543e+00,1.264134950049699002e+00,5.260935517034659448e-01
2.907606938877060898e-01,3.856793604466774994e-01,1.165765174634848300e+00,9.730665703153562607e-02
5.896462992669481151e-01,7.287367696012916340e-01,-1.228615859094571494e+00,4.119746539299962151e-02
5.850037178036776586e-01,2.668534961011093998e+00,-1.413535223278923780e+00,3.326783723949344740e-01
3.972583802354157645e-01,2.925611268673733445e+00,-1.106462533782648361e-01,3.364349515747820374e-01
2.932708955610595636e-01,3.017996424177505688e+00,-6.258832933470079851e-01,4.178788643965624106e-01
2.047065285519431010e-01,1.360469841655405077e+00,9.369274713316997349e-01,4.982015223202843068e-01
3.637551184649093772e-01,1.595725530375279089e+00,3.639671499347618688e-01,9.604861154957122782e-03
2.263510573574722962e-01,3.763546085717157652e-01,-1.507229609241008017e+00,1.017574460614372178e-01
3.138032272796719702e-01,2.654177649238445014e+00,-1.416164532488566330e+00,5.749259986010962775e-02
8.283835190561512629e-01,3.421978796306739401e-01,1.848620275434632587e-01,1.048442790279733305e-01
9.176829266852842837e-01,2.461608737304150196e+00,-2.382003411950444072e-01,2.528633700200866308e-02
1.761817718378027586e-01,7.557811683805434333e-01,-1.161466660995772004e+00,2.798046281544645519e-01
3.841497591364367858e-01,7.107610597048357182e-01,6.724527456273333703e-01,7.939677890705826302e-02
4.157382323728184836e-01,1.814633803799245992e-01,-2.073308773580663233e-01,9.561661611179550491e-03
8.743453843916609847e-01,5.101392727201354838e-01,-6.588530023375140932e-01,4.597536762213427775e-02
4.233322721578244852e-01,1.421041148574914148e-01,-8.362960803605865578e-01,3.925451526803465652e-01
4.779689938108912517e-01,3.538220905682218920e-01,5.150283747962480785e-01,2.852365044371872327e-01
5.804110544241889436e-01,1.071003976073451991e+00,1.470652565089353603e+00,1.464821422374561477e-01
4.268698523495178532e-01,7.338279983618567481e-02,-6.806687438041783000e-01,4.493707387607373538e-01
3.195926126894146346e-01,1.151552950198124980e+00,-2.701277031964003372e-01,5.863465929370924590e-01
6.390407446413430836e-01,1.731347503728357218e+00,4.999155797284875469e-01,2.293601442328671025e-01
7.345124768105081303e-01,1.667457295111604232e+00,1.316796456286747130e+00,4.833484639352381151e-02
7.095475807133466706e-01,2.567408780748906771e+00,-1.199396194243240732e+00,2.203185407644382421e-01
6.911050401853950920e-01,1.528763965149334547e+00,3.063744240460749557e-01,7.825247168125526454e-02
5.911286911916605602e-01,9.401028217740741155e-01,7.326284463562160454e-02,1.520880761952629889e-01
4.762558771936836743e-01,2.814891172300559408e+00,-1.063171129999955555e+00,1.878069832842778064e-01
6.191800205237759647e-01,4.278746798374772897e-01,6.334310987202995680e-02,2.364426534455327245e-01
6.382959556441842874e-01,1.349542449042249403e+00,1.912267870807812242e-01,3.437030692979192725e-02
3.846791939075746569e-01,3.331808219222023304e-01,-6.265287224451201453e-01,3.785333605309206817e-01
5.589790253850120127e-02,1.993937387207764811e+00,4.130169285228076914e-01,1.767295713452395056e-02
8.504429487332632043e-02,2.462000504653000466e+00,6.508885024263904029e-01,7.916270065182446913e-01
8.130766631868427963e-01,1.048743308734916724e+00,1.002962482858870352e+00,7.705940492579477219e-02
1.565364685903445352e-01,4.962913465910943067e-01,1.503966471876123867e+00,3.384176632330276324e-01
8.297863872767023974e-01,1.277298374950182058e-01,1.540960724487307365e+00,7.687923165668220093e-02
8.044348382088667426e-01,2.925709387490765145e+00,-3.350556218925695440e-01,1.279871603341131703e-02
9.235711158239204854e-01,2.735923723383253403e-01,1.169647405123948936e+00,1.886181797084052203e-02
5.739998783846861352e-01,3.103675422325654409e+00,-5.882643361160830864e-01,1.981993083395302557e-01
1.063864250075209628e-01,2.346302188732765082e-01,1.521798724018459614e+00,4.820190329632453863e-02
5.295226054344516209e-01,9.950458488427051940e-01,1.346780252570294545e+00,2.065323990747756078e-01
7.040622862851714236e-01,9.442731368400678615e-01,-3.323852396069714166e-01,2.388071187833896714e-01
5.035423740815745536e-02,1.944011089840439910e+00,-5.940386665262006316e-01,5.743117259948734565e-01
6.131618527018622977e-01,2.160911800385985071e+00,1.330932429152602792e+00,2.828908735514203965e-01
7.093975121986793031e-01,6.771986195415105048e-01,-1.451148209466045502e-01,7.642101809379797661e-02
9.414358591220228778e-01,9.354748322371426728e-01,1.421011200392440221e-01,5.404298694214770826e-03
9.066526671945076554e-01,2.851891717505234958e+00,9.456302099058966348e-02,7.853785525214318497e-03
5.678964430727327928e-01,1.523209980570536359e+00,1.042403289337709538e+00,1.770516015298020385e-01
8.206191121986631254e-01,1.170301450047503522e+00,-7.157518293133589005e-01,7.139630611817660011e-02
2.249666903130324580e-01,2.183616603898444364e+00,1.311612581416938150e+00,3.691425585130398423e-01
2.409414421175987142e-01,1.639180110861118145e+00,1.245521466231963803e+00,3.223703884345552328e-02
5.722462560506174079e-01,6.994176402019682826e-01,7.223783336945381883e-01,1.261314843571500477e-01
5.309542974142610339e-01,2.014499532355720213e+00,-3.145500295186167694e-01,1.546808422293053376e-01
3.036553595299330555e-01,4.825233954211727294e-02,6.066070492874175990e-02,5.797422803217642251e-01
1.529153442161289567e-01,8.464684391592565138e-01,4.477034354818919537e-01,2.217672828728045609e-01
7.299563019905681571e-01,1.624018600828433856e+00,7.453156647645567956e-01,4.562917629754104087e-02
3.985985744156319566e-01,1.474340486673222150e+00,-7.337306879282877725e-01,9.916535403430332130e-02
3.908406636024252534e-01,1.738116408512087041e-01,-1.219233044330054971e+00,2.954607859642621737e-02
3.418751983252261706e-01,2.923340570861522547e+00,-9.187377643263967553e-01,1.515578333047652437e-01
8.578686391468125505e-01,2.946214633006718486e-01,8.000402871736778110e-01,3.929019780849307697e-02
7.798383498712861961e-01,2.178121820951452570e+00,-8.730964602393203045e-01,1.029563677548821499e-01
4.196564600919956978e-01,3.318955076661955772e-01,1.045006734488460598e+00,4.479951454355836638e-01
8.997405729306011679e-01,2.522468196915699234e+00,-1.538347631843822283e+00,7.183551540370869404e-03
1.086062964238738993e-01,1.251080907685593768e+00,1.462759780463582127e+00,1.698409637238809944e-01
9.423597299232082669e-01,1.814429815350314890e+00,9.750814486021908145e-01,3.053358862793897899e-03
5.508570555061123031e-01,2.446362202282137410e+00,-2.114060791355567570e-01,1.964695892487617890e-01
1.778250895864935677e-01,1.654688180411031606e+00,-6.805994656828837641e-01,5.118066089709583100e-01
9.498102151485912081e-01,2.791852455342012096e-01,-8.989948959653937255e-02,2.277114614213093802e-05
3.687067205118640945e-01,5.807675928927298337e-01,-1.498606591260927656e+00,5.243175310466627881e-01
6.344992522197111240e-02,4.947648720308518433e-01,-7.327002485234053175e-01,8.077681881504053529e-03
7.987317923872851999e-01,8.348314000464069906e-01,1.416392957655322693e+00,1.295503619651824367e-01
2.402710615012201845e-01,2.190267191245342637e+00,-7.790090696104967627e-01,2.173244937838843538e-01
3.090897424406440219e-01,2.018460399188414467e+00,1.438482174742531372e+00,3.476560676321602816e-01
2.501544689751484807e-01,8.018705701105197647e-01,-2.085034604192375074e-01,1.980410018125794980e-01
7.441608739383983595e-01,2.576146304035460410e-01,-1.426718852322520492e+00,1.429221087579887195e-01
9.106615945095059006e-01,9.100265711143700198e-01,-8.193947627627687913e-01,4.929141331126207781e-03
1.548658896690978115e-01,1.391564569870902268e+00,-1.097447764688966654e+00,6.577533658207079803e-01
9.080316819565923403e-01,3.028938238650273895e+00,-1.735040947993771177e-02,2.122039459728131128e-02
7.712309917558366479e-01,1.538313624667763335e+00,1.253134833677983284e+00,1.201867249965226092e-01
7.901432369415321011e-01,6.404593070536530597e-01,1.068379563380538189e+00,8.865417023713617617e-02
9.009705927421362004e-01,1.853318708646799706e+00,-1.474203450050837638e+00,3.299026684750994143e-02
4.990094945906499713e-01,4.458660996121392994e-01,-3.927545229792984705e-01,5.514124547148430144e-02
3.587063848576658165e-01,1.444803595477972546e+00,8.327775433177442288e-02,1.721479781006791665e-01
3.964113345522431997e-01,1.177286788257904782e+00,-3.340339306015061016e-02,5.652314273969005765e-03
2.022998594671902572e-01,1.889482547001931856e+00,-8.612644057986429402e-02,5.026706093167603306e-01
1.391698432516281503e-01,2.662244862725841266e+00,-6.214472334782619178e-01,6.438947019781734449e-01
7.060534380374560159e-01,8.164314549499767093e-01,6.074614137957717874e-01,7.623162588055032440e-02
1.970419635918282952e-01,4.824659893718399317e-01,-3.737929609465440173e-01,9.911939953603371434e-03
