# Hurst index, argmin set length, argmin set center, Hmax - Hmin
2.731893630686371144e-01,2.627922548079468790e+00,8.757117260405622439e-01,3.544015959794261650e-01
1.898596572658344250e-01,3.107416518536059158e+00,2.257242654666047343e-01,4.366980081580129625e-02
4.297723097818793581e-01,2.469273061923888513e+00,-1.096186882175147925e+00,3.857890351703752163e-02
1.822549243040276767e-01,3.843851306084367092e-01,-2.744350845248438864e-01,5.810056690574632032e-01
1.044894298670957233e-01,8.581376013583619233e-02,-5.886274557050273915e-01,7.782393480212324022e-01
1.357962595809342199e-01,9.674685728094027937e-01,-1.427599882371164419e+00,4.922692922187285047e-01
4.611281244729216744e-01,1.569714453650812302e+00,4.591680328134915001e-01,3.673774802998773237e-01
3.441210799621173821e-01,2.133060048774232165e+00,1.518981340764624210e+00,1.419031518963875249e-01
8.679957797039287160e-01,2.591434552008894610e+00,-1.473842416971505420e+00,4.850119763859939148e-02
9.108058632483015393e-02,2.664685641112283676e+00,8.679366153945320406e-01,7.447106491014113816e-01
1.853747203830144463e-01,1.338259212041584156e+00,7.265664905193145451e-01,7.212431304148148037e-01
5.508132132563597905e-02,3.209991528385730541e-01,-6.483892130205415327e-01,7.763673393464753936e-01
3.604502416761652395e-01,3.092426515049525371e+00,5.923956226864510732e-01,2.230645981601349082e-01
2.094013685868271191e-01,3.030887530067113422e-01,-4.428993076323603506e-01,7.263894985473389188e-01
2.832014613154068550e-01,1.166958813770524461e+00,-7.497431910450740311e-01,2.779240129095822964e-01
4.274988776489481723e-01,2.905328437976031797e+00,1.462547193520666866e-01,2.306525020290048356e-01
5.591006900341444208e-02,9.671851554380972438e-01,1.004310210072465237e+00,3.414734239721369247e-01
9.325544112456371493e-02,2.595661702687708683e+00,1.296421241800336688e+00,8.312799119745465370e-01
1.438920148669669552e-01,1.363990413226039422e-01,-2.101393058590577123e-01,4.885202600371884585e-01
4.136127619863508298e-01,1.754270402877660118e+00,9.577879307669716624e-01,2.304781017445328151e-01
2.322220780104865545e-01,1.210479337600458782e+00,4.477167538016165738e-01,2.820036250778132914e-01
2.587844266865900189e-01,7.114406729892701620e-01,-6.726968087264846297e-01,6.293823779049898537e-01
1.712403599119688147e-01,5.112775613133013763e-01,8.183259079493758748e-01,6.825747523820459017e-01
7.103686904548667247e-01,1.729110340348758657e+00,3.354852722657492015e-01,1.918348728159200434e-01
6.645178884825717058e-02,8.381070360313054302e-01,-7.982754089443628853e-01,7.265269740700703860e-01
9.709132310211773809e-02,9.528031745787277629e-01,1.385607581173540659e+00,9.447937531659814092e-02
1.048281760874208851e-01,2.916044312543994543e+00,-4.106908560934150465e-01,7.735806920188861291e-01
2.985812547388457805e-01,6.085878273931497606e-01,-6.422759669075955857e-01,6.503438559418536213e-01
9.429266929033724987e-02,3.633905990779369155e-01,-2.292656191379467412e-01,6.444664094627965412e-01
4.392634032462814919e-01,2.030295145325989203e+00,1.361530867366365083e+00,2.195820173588230451e-01
2.205623445349017553e-01,6.603007937195572996e-01,-2.130774651197423486e-01,6.420913103315364356e-01
5.019107697799065626e-01,1.800920558235695967e+00,-8.913214015071082574e-01,1.690644079422031210e-01
1.535318046773334055e-01,9.981515358129366966e-01,-4.631515917225972334e-01,7.785425265643217685e-01
3.781382400521340892e-01,2.890007446862751905e+00,3.118770203260661233e-01,2.935358433310399362e-01
8.745081560253728514e-02,1.812680589880262261e-01,1.033452976325595962e+00,7.481113889047632526e-01
2.119918337828848864e-01,1.588582281057430823e+00,-3.078481576058356151e-01,7.012565973966718991e-01
2.751040837416369178e-01,1.654666041478649152e+00,1.375483996446837720e+00,1.904880095937697138e-01
3.944757132492950902e-01,1.136832195083771424e+00,-1.273125242510981359e+00,2.233892026089046023e-01
5.192245128111419583e-02,8.874163994398385213e-01,1.317203869769185243e+00,8.976907860385359150e-01
4.603154236468393612e-01,8.308633011837516236e-01,1.286062587597665008e+00,3.480624600732156737e-01
2.421261828588720522e-01,1.746115534189807139e-01,4.909376166907380989e-01,1.562302470119842357e-01
2.583009083833180952e-01,1.960888126633083761e+00,1.463616968300690102e+00,3.359247678893491074e-01
2.058846462706893088e-01,6.615593584517611703e-01,1.130606585571234390e+00,5.302960423203684215e-01
3.429056431908109603e-01,2.072513522246426376e+00,-2.271907161329689284e-01,4.927076410072620538e-01
1.066842587139183174e-01,2.045414129812999970e+00,-8.739189030394969304e-01,6.456045438822606286e-01
4.162677963762417277e-01,1.585553572699076375e+00,-4.735310100979158721e-01,1.373357059955268578e-01
4.363386893059233440e-01,5.074415335162489882e-01,1.524487866249776946e+00,3.006460417395411255e-01
2.079542316245127642e-01,6.565726332361609963e-01,-9.492936429450504754e-01,5.871264695281680490e-01
3.332930437823020675e-01,2.786660838837682341e+00,1.326947457186213430e+00,3.179895240029828596e-01
5.042139514936580524e-02,1.917285076236468377e+00,-7.315233605887914159e-01,8.994388759409441825e-01
9.953008269759509863e-02,2.268832856685225607e+00,8.938740373492786162e-01,4.607164333181605897e-01
1.696472859687647994e-01,7.430352086041374093e-01,1.059293589566314253e+00,6.518139087594128078e-01
5.090424285355371614e-01,6.991300923596348582e-01,-1.523199675053804381e+00,8.316073356808884043e-02
6.978948071142773713e-02,2.634460063667922736e+00,6.404713123545846543e-01,8.787015674057560011e-01
2.671705185599076438e-01,2.308896479463442564e+00,-1.105667156454686273e+00,3.497035705045831722e-01
7.951822114180354117e-02,2.122321053686723857e+00,-4.108440596028193337e-01,2.678602488335495302e-01
2.947214979493236187e-01,1.721501329860235519e+00,-1.197695824230363693e+00,6.036741762541006917e-01
6.073736456869867073e-01,1.637506920298615221e+00,-2.131916915172511473e-01,2.762695977050140250e-01
2.839452705543228928e-01,1.890311282192727926e+00,-1.471545081943066213e+00,1.505236537340239322e-01
1.811057018706754285e-01,1.375358141695025793e+00,-1.424626520538161856e+00,7.404162822160739177e-01
5.829129295991666293e-01,4.914752098345928077e-01,-3.873731880775431180e-01,3.648955705457161969e-01
5.142089560514274960e-02,2.918618889636901415e-01,-1.092840396893461241e+00,2.671511208030319384e-01
6.973154359998245955e-02,5.805396116483008129e-02,3.752894641280131172e-01,8.769884304087236515e-01
7.456017263479608470e-02,5.374571047784041378e-01,-5.943787451095958740e-01,3.106720941110000522e-01
6.448969536337077757e-02,7.579878448527319623e-01,-7.861779101761349198e-01,7.858763719348319521e-01
6.054836896291081461e-01,1.933166179382195482e+00,7.044083674661805183e-03,3.285720123928973502e-01
7.580179634002115474e-02,3.923794990455240494e-01,5.505066791899149159e-01,8.595089963888438156e-01
4.197006947714264080e-01,1.935373359738311372e+00,-1.327992968154571241e+00,2.023049208974558866e-02
7.455775711396739336e-01,1.197909880073242839e+00,-7.340944364220676199e-01,4.932516625416738520e-02
1.124729431992858714e-01,2.681241377812564330e+00,1.141109284523687872e+00,7.564238277566148749e-01
4.569817757577971373e-01,5.030181419214396765e-01,2.151079949895319254e-01,1.198842300835783470e-01
2.859688649285206941e-01,6.412976646433015127e-01,5.619255003088301503e-01,5.158063718241332474e-01
4.622293531715687687e-01,1.198256678511275597e+00,-8.801288164740351805e-01,3.758458182267743197e-02
7.026918244672988312e-01,1.435384306451723990e+00,-1.213434167132333430e+00,4.086198906930638142e-02
4.973756605264283426e-01,2.963228903427243210e+00,-3.752225633802401816e-01,1.177634512126268795e-01
4.118217164474577974e-01,2.668359833932636871e+00,-1.014878108432328174e+00,3.849199449298351672e-02
6.186106031414839723e-02,2.139977494551275061e+00,9.981796833748202147e-01,8.861180391702367931e-01
3.480518688658569282e-01,3.776744768014491660e-01,-9.046111836752752655e-01,5.002115398494608733e-01
1.304896178809736296e-01,5.196882870839771851e-01,1.081457700875990691e-01,5.247725436729562265e-01
6.185592409256064628e-02,2.197558178692546882e+00,1.259989190917741197e+00,8.826877785461538783e-01
1.681813127475174086e-01,3.612965285934677251e-01,4.945907397731275079e-02,6.011661684672660044e-01
2.332875534619573421e-01,1.607423374494705071e+00,-3.506585938807605940e-01,4.560174998459303741e-01
6.889670573396038111e-02,3.585198289430628904e-01,-1.028749808188911485e+00,5.220406567823061561e-01
4.097385568121410526e-01,1.660630127114307353e+00,-1.454280494455782557e+00,3.972552813838490793e-01
1.633481926509304238e-01,2.726810288012014638e+00,-7.672152547365440611e-02,7.115394168200097624e-01
5.973043595079054191e-02,1.805870109111379129e+00,-4.012770997216907887e-01,8.000903966894254982e-01
1.205765413459673752e-01,4.719110932647578860e-01,-9.395925517185087505e-01,3.418605307299251717e-01
2.239654043959816154e-01,2.053508539284311318e+00,1.470649242053920336e+00,2.155200983747355692e-01
6.214430913333120199e-02,2.460165058625876533e+00,-1.026577535206655956e+00,8.659097403828649453e-01
2.733151787726339488e-01,1.336161861902223524e+00,-4.558442144829204512e-01,1.823075116784352856e-01
2.226359514404658291e-01,2.555024601327993583e+00,-6.643098665859155094e-01,6.405030696636930809e-01
4.659033645592944306e-01,2.088265812270942323e+00,-9.571171783287220070e-01,4.685451093080202356e-01
3.227142364236456062e-01,5.079445676954035260e-01,-8.379856370929245069e-01,3.314252992228533534e-01
5.866205172026820597e-02,2.966956877654596259e+00,-1.029825991901948123e+00,8.026228522993044123e-01
1.580779406478749205e-01,2.362002788287221655e+00,-5.398423000116587822e-01,3.461076810986458696e-01
2.095389951212898172e-01,1.558395718071128311e+00,-9.205255431148573475e-01,2.625125856513373379e-01
5.329381934644243923e-01,2.357534257978080472e+00,5.396519145634783854e-01,8.323004756010499161e-02
6.450314093361269041e-01,2.884646908459391312e+00,1.195350882486167166e+00,4.537267291231339428e-02
1.389238316571672349e-01,2.836986687378510563e+00,-6.786095620070102807e-01,6.942951965535840708e-01
5.764353571744312149e-02,2.325964238530260353e+00,9.240263479886485776e-01,2.982996932543518359e-02
4.430796181112474641e-01,3.217324432740862328e-01,-8.647949375222030444e-01,4.131394369577700565e-01
1.681530743530853522e-01,9.117264049483877475e-01,-8.624714664738911685e-01,5.383256214210526691e-01
5.363788822678429435e-02,1.580624299562900958e+00,3.853794244574437755e-02,3.265486350895007717e-01
9.103378223017138948e-02,1.171903952390638715e+00,1.186801426910167656e+00,3.474747195853101767e-01
6.866777796673679823e-01,1.821029816756097430e+00,-4.641042697579947918e-01,2.040518293389083082e-01
2.601700492329686587e-01,2.772438160960376319e+00,-6.932884714235549861e-01,4.236771423851551366e-01
8.937929679708940534e-02,2.857272546843347527e+00,-9.622241942001501513e-01,8.568986668790491423e-01
8.335977044807138525e-02,2.425612294013579806e+00,-9.853226365950615850e-01,8.556850992005193834e-01
3.252571793236191389e-01,2.982126969193395816e+00,9.424575409942348436e-01,6.528220523227551420e-02
3.976367293145816606e-01,4.907885716776669849e-01,-1.151257607060851562e+00,1.986037521736037648e-01
2.023723322571436278e-01,1.610526574683856627e+00,-8.111071674372027918e-01,6.450007075678223512e-01
3.786635672914350770e-01,2.060266083475406518e+00,1.409087932967123535e+00,2.160958030312579159e-01
1.752833175164924540e-01,1.006828023342834610e+00,-4.784332985907292501e-01,7.403240114662821281e-01
3.566949973903539295e-01,2.511477270221035063e+00,4.985093428651095060e-01,2.240765998495145572e-01
2.650157128894322089e-01,3.308305899146737339e-01,3.263174076644108634e-01,5.997080013334343818e-01
7.461042298857757382e-01,2.484867563851448580e+00,1.157849375638711376e+00,1.470680068740152224e-01
3.401150643006892738e-01,2.623414894724879431e+00,7.040142380255458576e-01,1.596993030426278048e-01
1.149670535014478273e-01,2.957077082688652769e+00,2.067765979549536226e-01,8.314718707471361325e-01
1.222172697701225247e-01,1.029782912538562467e+00,1.121986849537399245e+00,6.559745003552082121e-01
1.648498091522141995e-01,2.174215273704838580e+00,4.358070953140720238e-01,6.995215840709665400e-01
6.968598312858782506e-01,1.141695310785046047e+00,-1.548658750240559101e+00,7.108578015561017871e-02
9.327289696272411668e-02,2.601115127141911731e+00,-3.576163999786630132e-01,1.643356655504027986e-01
3.029509291561501283e-01,9.574369290300519530e-01,-1.008429209179300567e+00,5.395350232409017455e-01
4.204771333088718199e-01,2.825533535175411171e+00,7.012839319311492403e-01,4.507194047048027619e-01
1.727956916603161641e-01,1.890675687785259518e+00,4.348175444144867230e-01,6.600620467744822140e-01
6.988047236181743616e-02,2.113961585519540165e+00,-2.675222776267480729e-01,1.361726882703957753e-01
5.398142393633940939e-02,1.951524791346033183e-01,1.115189077343643476e-01,6.672182042379983802e-01
2.780933604293948092e-01,2.077122782966930536e+00,-1.098479900129984532e+00,5.503817403515535167e-01
2.500715751101624806e-01,4.960820661421641020e-01,7.994176141078757070e-01,2.778518153235978727e-01
4.032163266392496670e-01,3.214631690639684347e-01,4.206434341333730176e-01,3.750278923484438032e-01
2.249765668175454092e-01,1.462217689595635361e+00,-1.918764530156286119e-01,6.824882842057078403e-01
1.898102728829598740e-01,2.526050879868676269e+00,-1.475621628798771123e+00,4.365192186150454456e-01
3.807293000924650839e-01,1.143110688625510019e+00,1.472140539201624465e+00,3.636718614169096586e-01
1.595879610372422097e-01,1.595309557214997120e+00,-1.866104167525571844e-01,4.946311334926751235e-01
3.994292295516970737e-01,1.663002982660432671e+00,1.558220220455949878e+00,4.999586303130961196e-01
1.596465025500764801e-01,2.987499092246674870e+00,-7.515428005279924939e-01,7.347694660842919445e-01
8.116540748811901240e-02,1.781584215616046407e+00,7.644136276707858002e-02,3.506400550380483483e-01
2.535619924494610933e-01,1.661220405751728801e+00,5.347838042110748535e-01,2.872077028583083225e-01
1.018955016036224015e-01,2.757694818301623219e+00,-8.592901202392619897e-01,7.868923630341451148e-01
5.189114047044046663e-01,2.592190393844037377e+00,1.165238171048186500e+00,2.022846458733048580e-01
2.733392402177876601e-01,2.443262883545977981e-01,-8.298709511106376890e-01,5.074884503689938153e-01
3.248808386819697636e-01,4.374605373214861537e-01,7.034036343522449553e-01,5.911319034101014669e-01
2.470571042018071539e-01,1.719304666750115285e+00,-1.152770779646290711e+00,1.699608839836989627e-01
8.509782576934693532e-02,1.337817643270609480e+00,1.311093402813978681e+00,3.867059426118903964e-01
2.837947002316439926e-01,1.623756797173169453e+00,1.734625732240336893e-01,2.423159759559019300e-01
1.004961909829722722e-01,1.346116353870415727e+00,6.681418330981366838e-01,1.841575097217391377e-01
4.716498483227181127e-01,2.348895123117624273e+00,-1.308158762595093005e+00,4.460444070666917393e-01
7.085941610172263871e-01,1.715917960530193742e+00,-3.041770070090776823e-02,2.102147061396104633e-01
1.570635595924527728e-01,2.386751781580063181e+00,-5.912100896252248106e-01,2.782728328259070905e-01
1.420755950180371541e-01,1.281671762993346286e+00,-6.438108905457234910e-01,5.419653087996971763e-01
4.754954399366722040e-01,3.041129311317916084e+00,-1.468640726992270995e+00,1.449202483482013859e-01
5.855370607902227187e-01,2.791161769338668108e+00,-1.504277724277025108e+00,3.492119065005842016e-01
1.663684187463347619e-01,2.175911628269518339e+00,7.980648822156655164e-02,6.759217967233496216e-01
2.178490052736559712e-01,2.730759314618998790e+00,-9.319126740496070926e-01,6.612844159651258824e-01
6.625229659763071099e-02,1.928006633229210731e+00,-4.170011392358710101e-01,8.781470581192827307e-01
1.636441259554903271e-01,2.067933816255198565e+00,-1.026438459824198901e+00,5.575300574794999076e-01
5.760935517034658782e-01,2.978719717601522543e+00,1.264134950049699002e+00,3.216813131586254704e-01
1.473066570315356427e-01,3.856793604466774994e-01,1.165765174634848300e+00,2.407606938877060732e-01
9.119746539299961041e-02,7.287367696012916340e-01,-1.228615859094571494e+00,5.396462992669479597e-01
3.826783723949344629e-01,2.668534961011093998e+00,-1.413535223278923780e+00,5.350037178036775032e-01
3.864349515747819708e-01,2.925611268673733445e+00,-1.106462533782648361e-01,3.472583802354157201e-01
4.678788643965622884e-01,3.017996424177505688e+00,-6.258832933470079851e-01,2.432708955610595747e-01
5.482015223202842957e-01,1.360469841655405077e+00,9.369274713316997349e-01,1.547065285519431121e-01
5.960486115495711168e-02,1.595725530375279089e+00,3.639671499347618688e-01,3.137551184649093883e-01
1.517574460614372067e-01,3.763546085717157652e-01,-1.507229609241008017e+00,1.763510573574723073e-01
1.074925998601096444e-01,2.654177649238445014e+00,-1.416164532488566330e+00,2.638032272796719813e-01
1.548442790279732917e-01,3.421978796306739401e-01,1.848620275434632587e-01,7.783835190561512185e-01
7.528633700200867973e-02,2.461608737304150196e+00,-2.382003411950444072e-01,8.676829266852842393e-01
3.298046281544644853e-01,7.557811683805434333e-01,-1.161466660995772004e+00,1.261817718378027697e-01
1.293967789070582519e-01,7.107610597048357182e-01,6.724527456273333703e-01,3.341497591364367969e-01
5.956166161117953939e-02,1.814633803799245992e-01,-2.073308773580663233e-01,3.657382323728184947e-01
9.597536762213429440e-02,5.101392727201354838e-01,-6.588530023375140932e-01,8.243453843916609403e-01
4.425451526803466096e-01,1.421041148574914148e-01,-8.362960803605865578e-01,3.733322721578244408e-01
3.352365044371872771e-01,3.538220905682218920e-01,5.150283747962480785e-01,4.279689938108912073e-01
1.964821422374561921e-01,1.071003976073451991e+00,1.470652565089353603e+00,5.304110544241888991e-01
4.993707387607372872e-01,7.338279983618567481e-02,-6.806687438041783000e-01,3.768698523495178088e-01
6.363465929370925034e-01,1.151552950198124980e+00,-2.701277031964003372e-01,2.695926126894147012e-01
2.793601442328670914e-01,1.731347503728357218e+00,4.999155797284875469e-01,5.890407446413430392e-01
9.833484639352384205e-02,1.667457295111604232e+00,1.316796456286747130e+00,6.845124768105080859e-01
2.703185407644382310e-01,2.567408780748906771e+00,-1.199396194243240732e+00,6.595475807133466262e-01
1.282524716812553089e-01,1.528763965149334547e+00,3.063744240460749557e-01,6.411050401853950476e-01
2.020880761952629778e-01,9.401028217740741155e-01,7.326284463562160454e-02,5.411286911916604048e-01
2.378069832842777953e-01,2.814891172300559408e+00,-1.063171129999955555e+00,4.262558771936836854e-01
2.864426534455326578e-01,4.278746798374772897e-01,6.334310987202995680e-02,5.691800205237759203e-01
8.437030692979188840e-02,1.349542449042249403e+00,1.912267870807812242e-01,5.882959556441842430e-01
4.285333605309207261e-01,3.331808219222023304e-01,-6.265287224451201453e-01,3.346791939075746125e-01
6.767295713452395334e-02,1.993937387207764811e+00,4.130169285228076914e-01,5.897902538501198499e-03
8.416270065182447357e-01,2.462000504653000466e+00,6.508885024263904029e-01,3.504429487332627602e-02
1.270594049257947611e-01,1.048743308734916724e+00,1.002962482858870352e+00,7.630766631868428629e-01
3.884176632330276213e-01,4.962913465910943067e-01,1.503966471876123867e+00,1.065364685903444908e-01
1.268792316566821898e-01,1.277298374950182058e-01,1.540960724487307365e+00,7.797863872767023530e-01
6.279871603341137531e-02,2.925709387490765145e+00,-3.350556218925695440e-01,7.544348382088666982e-01
6.886181797084053868e-02,2.735923723383253403e-01,1.169647405123948936e+00,8.735711158239204410e-01
2.481993083395301891e-01,3.103675422325654409e+00,-5.882643361160830864e-01,5.239998783846860908e-01
9.820190329632452753e-02,2.346302188732765082e-01,1.521798724018459614e+00,5.638642500752097386e-02
2.565323990747755967e-01,9.950458488427051940e-01,1.346780252570294545e+00,4.795226054344515210e-01
2.888071187833896047e-01,9.442731368400678615e-01,-3.323852396069714166e-01,6.540622862851713792e-01
6.243117259948735009e-01,1.944011089840439910e+00,-5.940386665262006316e-01,3.542374081574317657e-04
3.328908735514203299e-01,2.160911800385985071e+00,1.330932429152602792e+00,5.631618527018622533e-01
1.264210180937979655e-01,6.771986195415105048e-01,-1.451148209466045502e-01,6.593975121986792587e-01
5.540429869421472503e-02,9.354748322371426728e-01,1.421011200392440221e-01,8.914358591220228334e-01
5.785378552521431433e-02,2.851891717505234958e+00,9.456302099058966348e-02,8.566526671945076110e-01
2.270516015298020274e-01,1.523209980570536359e+00,1.042403289337709538e+00,5.178964430727326373e-01
1.213963061181766445e-01,1.170301450047503522e+00,-7.157518293133589005e-01,7.706191121986630810e-01
4.191425585130398312e-01,2.183616603898444364e+00,1.311612581416938150e+00,1.749666903130324691e-01
8.223703884345551218e-02,1.639180110861118145e+00,1.245521466231963803e+00,1.909414421175987253e-01
1.761314843571500921e-01,6.994176402019682826e-01,7.223783336945381883e-01,5.222462560506173634e-01
2.046808422293052709e-01,2.014499532355720213e+00,-3.145500295186167694e-01,4.809542974142609895e-01
6.297422803217642695e-01,4.825233954211727294e-02,6.066070492874175990e-02,2.536553595299331221e-01
2.717672828728045498e-01,8.464684391592565138e-01,4.477034354818919537e-01,1.029153442161289678e-01
9.562917629754102977e-02,1.624018600828433856e+00,7.453156647645567956e-01,6.799563019905681127e-01
1.491653540343033102e-01,1.474340486673222150e+00,-7.337306879282877725e-01,3.485985744156319677e-01
7.954607859642622014e-02,1.738116408512087041e-01,-1.219233044330054971e+00,3.408406636024252645e-01
2.015578333047652881e-01,2.923340570861522547e+00,-9.187377643263967553e-01,2.918751983252261817e-01
8.929019780849312138e-02,2.946214633006718486e-01,8.000402871736778110e-01,8.078686391468125061e-01
1.529563677548821665e-01,2.178121820951452570e+00,-8.730964602393203045e-01,7.298383498712861517e-01
4.979951454355836526e-01,3.318955076661955772e-01,1.045006734488460598e+00,3.696564600919957089e-01
5.718355154037087218e-02,2.522468196915699234e+00,-1.538347631843822283e+00,8.497405729306011235e-01
2.198409637238809555e-01,1.251080907685593768e+00,1.462759780463582127e+00,5.860629642387388261e-02
5.305335886279392149e-02,1.814429815350314890e+00,9.750814486021908145e-01,8.923597299232082225e-01
2.464695892487618334e-01,2.446362202282137410e+00,-2.114060791355567570e-01,5.008570555061122587e-01
5.618066089709582434e-01,1.654688180411031606e+00,-6.805994656828837641e-01,1.278250895864935233e-01
5.002277114614211984e-02,2.791852455342012096e-01,-8.989948959653937255e-02,8.998102151485911637e-01
5.743175310466628325e-01,5.807675928927298337e-01,-1.498606591260927656e+00,3.187067205118641056e-01
5.807768188150404937e-02,4.947648720308518433e-01,-7.327002485234053175e-01,1.344992522197111656e-02
1.795503619651824811e-01,8.348314000464069906e-01,1.416392957655322693e+00,7.487317923872851555e-01
2.673244937838843427e-01,2.190267191245342637e+00,-7.790090696104967627e-01,1.902710615012201956e-01
3.976560676321602705e-01,2.018460399188414467e+00,1.438482174742531372e+00,2.590897424406440330e-01
2.480410018125794869e-01,8.018705701105197647e-01,-2.085034604192375074e-01,2.001544689751484918e-01
1.929221087579887639e-01,2.576146304035460410e-01,-1.426718852322520492e+00,6.941608739383983151e-01
5.492914133112616892e-02,9.100265711143700198e-01,-8.193947627627687913e-01,8.606615945095058562e-01
7.077533658207079137e-01,1.391564569870902268e+00,-1.097447764688966654e+00,1.048658896690978226e-01
7.122039459728132793e-02,3.028938238650273895e+00,-1.735040947993771177e-02,8.580316819565922959e-01
1.701867249965225981e-01,1.538313624667763335e+00,1.253134833677983284e+00,7.212309917558366035e-01
1.386541702371362206e-01,6.404593070536530597e-01,1.068379563380538189e+00,7.401432369415320567e-01
8.299026684750990257e-02,1.853318708646799706e+00,-1.474203450050837638e+00,8.509705927421361560e-01
1.051412454714843181e-01,4.458660996121392994e-01,-3.927545229792984705e-01,4.490094945906499824e-01
2.221479781006791554e-01,1.444803595477972546e+00,8.327775433177442288e-02,3.087063848576658276e-01
5.565231427396900854e-02,1.177286788257904782e+00,-3.340339306015061016e-02,3.464113345522432108e-01
5.526706093167603751e-01,1.889482547001931856e+00,-8.612644057986429402e-02,1.522998594671902683e-01
6.938947019781734893e-01,2.662244862725841266e+00,-6.214472334782619178e-01,8.916984325162813363e-02
1.262316258805502855e-01,8.164314549499767093e-01,6.074614137957717874e-01,6.560534380374559715e-01
5.991193995360336033e-02,4.824659893718399317e-01,-3.737929609465440173e-01,1.470419635918282786e-01
